Product_title,Product_image,Packagesize,Price,Price_per_unit
Lazzio Luxe Blend Beans 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_4823_5-LTO_1x1_228x128_2_RET_215ed591ab.png,1kg,$21.99,$21.99 per kg
Mama Ka'z Dessert Puddings Sticky Date or Apple Crumble 400g,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_1002729_LTO_B4_1x1_228x128_2_RET_b7105f4a35.png,ea,$5.99,$1.50 per 100g
World Kitchen Potato Gnocchi 500g,https://www.aldi.com.au/fileadmin/_processed_/2/3/csm_1002729_LTO_B4_1x1_228x128_3_RET_02c1413870.png,500g,$3.99,80c per 100g
World Kitchen Mushroom Risotto 350g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_1002729_LTO_B4_1x1_228x128_4_RET_8fd7dff61c.png,350g,$6.99,$2.00 per 100g
World Kitchen Carbonara with Chicken and Bacon 350g,https://www.aldi.com.au/fileadmin/_processed_/a/1/csm_1002729_LTO_B4_1x1_228x128_5_RET_08f9454e23.png,350g,$7.99,$2.28 per 100g
World Kitchen Mediterranean Style Frittata 200g,https://www.aldi.com.au/fileadmin/_processed_/9/d/csm_1002729_LTO_B4_1x1_228x128_6_RET_70835b7611.png,200g,$4.69,$2.35 per 100g
World Kitchen Portuguese Style Chicken with Spicy Rice 350g,https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_1002729_LTO_B2_1x1_228x128_1_RET_d32c523e61.png,350g,$7.99,$2.28 per 100g
Julius Gold Premium Dog Food Meaty Beef Loaf Style 100g,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002781_REDUCTIONS_R13_1x1_228x128_3_RET_02cfacad1f.png,100g,95,95c per 100g
Julius Gold Premium Dog Food Meaty Chicken Loaf Style 100g,https://www.aldi.com.au/fileadmin/_processed_/e/f/csm_1002781_REDUCTIONS_R13_1x1_228x128_4_RET_f20ab3864c.png,100g,95,95c per 100g
Julius Gold Premium Dog Food Meaty Lamb Loaf Style 100g,https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_1002781_REDUCTIONS_R13_1x1_228x128_5_RET_95335a01b7.png,100g,95,95c per 100g
Julius Gold Premium Dog Food Meaty Kangaroo Loaf Style 100g,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R13_1x1_228x128_6_RET_82b6f9b86d.png,100g,95,95c per 100g
Julius Gold Premium Puppy Food 100g,https://www.aldi.com.au/fileadmin/_processed_/f/4/csm_1002781_REDUCTIONS_R13_1x1_228x128_7_RET_c7f0dbce70.png,100g,95,95c per 100g
World Kitchen Fresh Quiche 200g,https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_1002781_REDUCTIONS_R13_1x1_228x128_8_RET_fb6ee8dd05.png,ea,$3.99,66c per 100g
Sana Incontinence Pads 14pk/12pk/10pk,https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_27_RET_48781e5dcf.png,ea,$2.59,19c/22c/26c per pad
New Season Red Kidney Beans 410g/420g,https://www.aldi.com.au/fileadmin/_processed_/0/1/csm_1002781_REDUCTIONS_R12_1x1_228x128_1_RET_270630edaf.png,410g/420g,95,$2.32/$2.26 per kg
New Season Lentils or Cannellini Beans 415g/420g,https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1002781_REDUCTIONS_R12_1x1_228x128_2_RET_d901612268.png,ea,95,$2.29/$2.26 per kg
New Season Chickpeas 420g,https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_1002781_REDUCTIONS_R12_1x1_228x128_3_RET_28d7c56169.png,420g,95,$2.26 per kg
New Season 4 Bean Mix 420g,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_1002781_REDUCTIONS_R12_1x1_228x128_4_RET_83c729feff.png,420g,95,$2.26 per kg
New Season Corn Kernels 420g,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_1002781_REDUCTIONS_R12_1x1_228x128_5_RET_220c3f3c53.png,420g,95,$2.26 per kg
Emporium Selection Danish Blue Cheese 100g,https://www.aldi.com.au/fileadmin/_processed_/6/5/csm_1002729_LTO_B1_1x1_228x128_25_RET_f7cf1095b3.png,100g,$3.99,$39.90 per kg
Emporium Selection Double Cream Brie 200g,https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_1002729_LTO_B1_1x1_228x128_26_RET_60fe5717d2.png,200g,$4.99,$24.95 per kg
World Kitchen Chicken Parmigiana with Roast Potatoes 350g,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002729_LTO_B1_1x1_228x128_29_RET_4006fe8385.png,350g,$7.99,$2.28 per 100g
World Kitchen Cheeseburger Spring Rolls 240g,https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_1002729_LTO_B1_1x1_228x128_30_RET_50ec085a75.png,240g,$4.99,$2.08 per 100g
World Kitchen Mighty Meat Fully Loaded Pizza 700g,https://www.aldi.com.au/fileadmin/_processed_/1/3/csm_1002729_LTO_B1_1x1_228x128_31_RET_777076ec67.png,700g,$9.99,$1.43 per 100g
World Kitchen Korean Beef Dumplings 750g,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_1002729_LTO_B1_1x1_228x128_32_RET_9fdfd7b6d5.png,750g,$10.99,$1.47 per 100g
World Kitchen Cottage Pie 1.1kg,https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_1002729_LTO_B1_1x1_228x128_33_RET_9a1a5d227f.png,1.1kg,$10.99,$1.00 per 100g
World Kitchen Beef Bolognese 800g,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_1002729_LTO_B1_1x1_228x128_35_RET_124cd71923.png,800g,$9.99,$1.25 per 100g
Emporium Selection Truffle Cheddar Cheese 150g,https://www.aldi.com.au/fileadmin/_processed_/4/8/csm_4823_5-LTO_1x1_228x128_1_RET_79d87ef560.png,150g,$5.99,$39.93 per kg
Sartori Cheddar Cheese with Red Wine 150g,https://www.aldi.com.au/fileadmin/_processed_/5/3/csm_702942_DE_Q_01_1x1_5273a659bf.png,150g,$6.99,$46.60 per kg
"Ready , Set...Cook! Pork Belly Twister per kg",https://www.aldi.com.au/fileadmin/_processed_/b/c/csm_1002729_LTO_B4_1x1_228x128_1_RET_c089ebbd10.png,per kg,$19.99,$19.99 per kg
"The Fishmonger Fresh Tasmanian Salmon Fillets Lemon, Basil & Dill 4pk/480g",https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_1002729_LTO_B4_1x1_228x128_7_RET_1fc33b5d07.png,4pk,$19.99,$41.65 per kg
El Tora Black Beans 420g,https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_1002781_REDUCTIONS_R12_1x1_228x128_6_RET_5b7c3da134.png,420g,95,$2.26 per kg
Remano Potato Gnocchi 500g,https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_1002781_REDUCTIONS_R12_1x1_228x128_7_RET_3614e62e2f.png,ea,$2.99,60c per 100g
Ironbark Pork Pork Loin Steak per kg,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_1002781_REDUCTIONS_R11_1x1_228x128_1_RET_225309c355.png,per kg,$14.99,$14.99 per kg
Westacre Dairy Tasty Cheese Block 1kg,https://www.aldi.com.au/fileadmin/_processed_/4/9/csm_1002153_REDUCTIONS_R31_1x1_228x128_3_RET_ad2f6c8a15.png,1kg,$9.49,$9.95 per kg
Stonemill Spice Shakers 20g-60g,https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_1002153_REDUCTIONS_R31_1x1_228x128_1_RET_96f102094a.png,ea,$1.69,85c - 28c per 10g
Stonemill Spice Shakers 15g-85g,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_8_RET_84a65062b9.png,ea,$1.59,$1.06 - $0.19 per 10g
Sweet Valley Fruit Salad in Syrup 825g,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_1002781_REDUCTIONS_R09_1x1_228x128_1_RET_b4ffc3df0d.png,825g,$3.29,$3.99 per kg
The Cake Stall Banana Bread Slices 5pk/500g,https://www.aldi.com.au/fileadmin/_processed_/c/5/csm_1002781_REDUCTIONS_R08_1x1_228x128_1_RET_73d5a17699.png,5pk,$5.49,$1.10 per 100g
Brooklea Blueberry Yogurt No Added Sugar 110g,https://www.aldi.com.au/fileadmin/_processed_/2/2/csm_1002781_REDUCTIONS_R08_1x1_228x128_2_RET_710de7af44.png,110g,$1.29,$1.17 per 100g
Brooklea Raspberry Yogurt No Added Sugar 110g,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_1002781_REDUCTIONS_R08_1x1_228x128_3_RET_f4203b0fe0.png,110g,$1.29,$1.17 per 100g
Brooklea Strawberry Yogurt No Added Sugar 110g,https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R08_1x1_228x128_4_RET_372f0c6e85.png,110g,$1.29,$1.17 per 100g
Brooklea Vanilla Yogurt No Added Sugar 110g,https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002781_REDUCTIONS_R08_1x1_228x128_5_RET_6edf646473.png,110g,$1.29,$1.17 per 100g
The Fishmonger Crispy Coconut Prawns 200g,https://www.aldi.com.au/fileadmin/_processed_/5/2/csm_1002729_LTO_B3_1x1_228x128_1_RET-1_af31155217.png,200g,$5.99,$29.95 per kg
Berg Truffle Salami 100g,https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_1002729_LTO_B1_1x1_228x128_34_RET_391169c387.png,100g,$4.99,$49.90 per kg
Urban Eats Japanese Style Chicken or Pork Gyoza 700g,https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_1002729_LTO_B1_1x1_228x128_7_RET_d916460493.png,ea,$9.99,$1.43 per 100g
Kapiti Triple Chocolate Ice Cream 1L,https://www.aldi.com.au/fileadmin/_processed_/1/0/csm_1002729_LTO_B1_1x1_228x128_10_RET_2d8cbce04b.png,1L,$7.99,80c per 100ml
Kapiti Chocolate Hazelnut Mini 6pk/360ml,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_1002729_LTO_B1_1x1_228x128_11_RET_f75f3b75c6.png,6pk/360ml,$6.49,$1.80 per 100ml
"Indulge Gourmet Ice Cream Vanilla, Caramel & Choc Brownie 1L",https://www.aldi.com.au/fileadmin/_processed_/8/d/csm_1002729_LTO_B1_1x1_228x128_12_RET_c994da53da.png,1L,$5.99,60c per 100ml
Ocean Royale Gluten Free Fish Bites 350g,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_1002729_LTO_B1_1x1_228x128_13_RET_b0f7d5a378.png,350g,$6.99,$19.97 per kg
Ocean Royale Australian Raw Prawns Peeled Tail Off 500g,https://www.aldi.com.au/fileadmin/_processed_/8/9/csm_1002729_LTO_B1_1x1_228x128_14_RET_a36f8d3326.png,500g,$18.99,$37.98 per kg
Health & Vitality FIT Burrito Bowl or BBQ Beef 340g/360g,https://www.aldi.com.au/fileadmin/_processed_/9/b/csm_1002729_LTO_B1_1x1_228x128_15_RET_751bdeedff.png,ea,$6.99,$2.06/$1.94 per 100g
Health & Vitality Thai Style Red Chicken Curry 350g,https://www.aldi.com.au/fileadmin/_processed_/e/4/csm_1002729_LTO_B1_1x1_228x128_16_RET_acd32e4b90.png,350g,$4.49,$1.28 per 100g
Farmwood Chicken Dippers 1kg,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_1002729_LTO_B1_1x1_228x128_17_RET_13c8d81a8a.png,1kg,$9.99,$9.99 per kg
Seasons Pride Potato Pommes 350g,https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002729_LTO_B1_1x1_228x128_18_RET_3f1705ea00.png,350g,$3.49,$9.97 per kg
Seasons Pride Hash Brown Stars 510g,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002729_LTO_B1_1x1_228x128_19_RET_e62d38af88.png,510g,$3.99,$7.82 per kg
Pure Vita Canola Oil 2L,https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_1002781_REDUCTIONS_R07_1x1_228x128_RET_94687ddb80.png,2L,$6.69,34c per 100ml
Farmdale Full Cream Milk Powder 1kg,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_1002781_REDUCTIONS_R05_1x1_228x128_1_RET_39d2ae6a99.png,1kg,$8.49,85c per 100g
Bakers Life Mini White or Wholegrain Wraps 8pk/360g,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_1002781_REDUCTIONS_R06_1x1_228x128_1_RET_c0641e0927.png,ea,$2.19,61c per 100g
Season's Pride Potato Gratin 400g,https://www.aldi.com.au/fileadmin/_processed_/d/1/csm_1002781_REDUCTIONS_R03_1x1_228x128_1_RET_R_9b978257d8.png,400g,$4.49,$11.23 per kg
Season's Pride Spinach & Ricotta Gratin 400g,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_1002781_REDUCTIONS_R03_1x1_228x128_2_RET_c71fa980d9.png,400g,$4.49,$11.23 per kg
Health & Vitality Shepherd’s Pie or Tuna Mornay 400g,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_1002781_REDUCTIONS_R10_1x1_228x128_1_73c06c337b.png,ea,$4.49,$1.12 per 100g
Health & Vitality Chilli Con Carne 350g,https://www.aldi.com.au/fileadmin/_processed_/4/2/csm_1002781_REDUCTIONS_R10_1x1_228x128_2_bf057bec79.png,350g,$4.49,$1.28 per 100g
Hydale Corned Beef 340g,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_1002781_REDUCTIONS_R10_1x1_228x128_4_122760b740.png,340g,$2.99,$8.79 per kg
Bakers Life Large White or Wholegrain Wraps 8pk/560g,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_1002781_REDUCTIONS_R10_1x1_228x128_6_24fe6d59f5.png,ea,$3.29,59c per 100g
Pure Vita Blended Vegetable Oil 2L,https://www.aldi.com.au/fileadmin/_processed_/8/7/csm_1002781_REDUCTIONS_R10_1x1_228x128_5_9271a4ec5d.png,2L,$6.69,34c per 100ml
Seasons Pride Potato Hearts 500g,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_1002729_LTO_B1_1x1_228x128_20_RET_4886b0c1ed.png,500g,$2.49,$4.98 per kg
Urban Eats Sweet Corn Fritters 240g,https://www.aldi.com.au/fileadmin/_processed_/a/7/csm_1002729_LTO_B1_1x1_228x128_21_RET_a461394f29.png,240g,$3.99,$16.63 per kg
Papa Giuseppi's Cheese Pizza Pies 2pk/310g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_1002729_LTO_B1_1x1_228x128_22_RET_54bbce7807.png,2pk/310g,$4.99,$1.61 per 100g
Orchard & Vine Smoothie Mix 450g,https://www.aldi.com.au/fileadmin/_processed_/9/e/csm_1002729_LTO_B1_1x1_228x128_23_RET_edc488b028.png,ea,$5.99,$13.31 per kg
International Cuisine Cheese & Bacon Mini Pizza 4pk/400g,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002729_LTO_B1_1x1_228x128_24_RET_5bd0989ca9.png,4pk/400g,$5.49,$1.37 per 100g
Urban Eats Cauliflower Buffalo Wings 320g,https://www.aldi.com.au/fileadmin/_processed_/c/c/csm_704495_DE_Q_01_1x1_4a25534df9.png,320g,$3.99,$12.47 per kg
Health & Vitality Chicken & Cashew or Chicken Carbonara 280g/300g,https://www.aldi.com.au/fileadmin/_processed_/2/c/csm_1002781_REDUCTIONS_R04_1x1_228x128_1_RET_821e5115c1.png,ea,$4.49,$1.60/$1.50 per 100g
Health & Vitality Green Chicken Curry 320g,https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_1002781_REDUCTIONS_R04_1x1_228x128_2_RET_947ea05461.png,320g,$4.49,$1.40 per 100g
Health & Vitality Chicken Risotto or Chicken Pasta 350g/370g,https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R04_1x1_228x128_3_RET_3724070a40.png,ea,$4.49,$1.28/$1.21 per 100g
Health & Vitality Beef Stroganoff or Lamb Hot Pot 280g/290g,https://www.aldi.com.au/fileadmin/_processed_/5/5/csm_1002781_REDUCTIONS_R04_1x1_228x128_4_RET_97b4b20669.png,ea,$4.49,$1.60/$1.55 per 100g
Goldenvale Bran & Sultanas 580g,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1002781_REDUCTIONS_R02_1x1_228x128_1_RET_91870e81f3.png,580g,$3.99,69c per 100g
Fancy Feast Cat Food Multipack 510g,https://www.aldi.com.au/fileadmin/_processed_/3/5/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_12_RET_3cbbc219f4.png,510g,$7.49,$1.47 per 100g
Supercoat Dry Dog Food 6kg,https://www.aldi.com.au/fileadmin/_processed_/a/1/csm_1002153_REDUCTIONS_R46_1x1_228x128_4_RET_f60abc932d.png,6kg,$24.99,42c per 100g
Brooklea Chocolate Flavoured Custard Pouch 70g,https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_1002781_REDUCTIONS_R01_1x1_228x128_1_RET_f721065dea.png,70g,$1.49,$2.13 per 100g
Brooklea Vanilla Flavoured Custard Pouch 70g,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_1002781_REDUCTIONS_R01_1x1_228x128_2_RET_1633a35b3f.png,70g,$1.49,$2.13 per 100g
So Femme Ultra Thin Pads 14pk/12pk/10pk,https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_1002153_REDUCTIONS_R59_1x1_228x128_1_RET_b6ebc9136d.png,ea,$1.79,13c/15c/18c per pad
So Femme Boxed Liners 48pk/30pk,https://www.aldi.com.au/fileadmin/_processed_/7/5/csm_1002153_REDUCTIONS_R59_1x1_228x128_2_RET_812ed1675d.png,ea,$1.89,4c-6c per liner
Emporium Selection Swiss Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002153_REDUCTIONS_R58_1x1_228x128_6_RET_bb4c41e9a2.png,200g,$4.49,$22.45 per kg
San-I-Pet Cat Litter Crystals 2kg,https://www.aldi.com.au/fileadmin/_processed_/b/7/csm_1002153_REDUCTIONS_R58_1x1_228x128_1_RET_482ee24545.png,2kg,$9.69,$4.85 per kg
Emporium Selection Camembert Cheese 125g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002153_REDUCTIONS_R58_1x1_228x128_4_RET_24ea9b6810.png,125g,$2.49,$19.92 per kg
Emporium Selection Brie Cheese 125g,https://www.aldi.com.au/fileadmin/_processed_/5/b/csm_1002153_REDUCTIONS_R58_1x1_228x128_3_RET_9f06774157.png,125g,$2.49,$19.92 per kg
Essential Health Vitamins Glucosamine 60pk,https://www.aldi.com.au/fileadmin/_processed_/8/1/csm_1002153_REDUCTIONS_R58_1x1_228x128_5_RET_6d6a1e02bc.png,60pk,$7.99,13c per tablet
Emporium Selection Gouda Cheese Portion 265g,https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_1002153_REDUCTIONS_R57_1x1_228x128_1_RET_cc6810ab1d.png,265g,$4.99,$18.83 per kg
Emporium Selection Maasdam Cheese Portion 260g,https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_18_RET_a0285542da.png,260g,$4.99,$19.19 per kg
Emporium Selection Edam Cheese Portion 230g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_19_RET_9e5ccf1992.png,230g,$4.99,$21.70 per kg
Emporium Selection Butterkase Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_20_RET_0278dee7d0.png,200g,$4.49,$22.45 per kg
Emporium Selection Havarti Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_22_RET_c1dcb0d68b.png,200g,$4.49,$22.45 per kg
Emporium Selection Gouda Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_23_RET_2be24f9391.png,200g,$4.49,$22.45 per kg
Emporium Selection Edam Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_24_RET_ea50090941.png,200g,$4.49,$22.45 per kg
Emporium Selection Maasdam Cheese Slices 200g,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_25_RET_7f7cc33e09.png,200g,$4.49,$22.45 per kg
Emporium Selection Goat's Cheese Slices 150g,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_26_RET_1e8a2b3bec.png,150g,$4.49,$29.93 per kg
Berg Short Cut Bacon 200g,https://www.aldi.com.au/fileadmin/_processed_/5/e/csm_1002153_REDUCTIONS_R56_1x1_228x128_2_RET_04963f388a.png,200g,$4.39,$21.95 per kg
Oh So Natural Pine Nuts 100g,https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_1002153_REDUCTIONS_R55_1x1_228x128_1_RET_f36c8dc0fd.png,100g,$4.69,$46.90 per kg
"Ready, Set…Cook! Crumbed Pork Schnitzel 500g",https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_1002153_REDUCTIONS_R56_1x1_228x128_3_RET_e2fcff5a32.png,500g,$9.49,$18.98 per kg
Stonemill Black Pepper Grinder 50g,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_1002153_REDUCTIONS_R52_1x1_228x128_1_RET_bc1b52c595.png,50g,$3.19,64c per 10 g
Stonemill Iodised Sea Salt Grinder 110g,https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002153_REDUCTIONS_R52_1x1_228x128_2_RET_e9b431b851.png,110g,$3.19,29c per 10 g
Westacre Dairy Shredded Parmesan Cheese 250g,https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_1002153_REDUCTIONS_R51_1x1_228x128_1_RET_1ba128e316.png,250g,$5.49,$21.96 per kg
Westacre Dairy Light Tasty Cheese Slices 500g,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_17_RET_cb5a211d75.png,500g,$7.99,$15.98 per kg
Westacre Dairy Colby Cheese Slices 500g,https://www.aldi.com.au/fileadmin/_processed_/b/4/csm_1002153_REDUCTIONS_R49_1x1_228x128_1_RET_fa59ccb9cf.png,500g,$7.99,$15.98 per kg
Westacre Dairy Tasty Cheese Slices 500g,https://www.aldi.com.au/fileadmin/_processed_/2/6/csm_1002153_REDUCTIONS_R49_1x1_228x128_2_RET_afddf90c88.png,500g,$7.99,$15.98 per kg
Dentitex Mouthwash 1L,https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_1002153_REDUCTIONS_R49_1x1_228x128_3_RET_64ec43caef.png,ea,$3.39,34c per 100ml
Dentitex Mouthwash 500ml,https://www.aldi.com.au/fileadmin/_processed_/c/4/csm_1002153_REDUCTIONS_R49_1x1_228x128_4_RET_R_c1f16637e8.png,500ml,$3.99,80c per 100ml
Moccona Classic Coffee 150g,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_1002153_REDUCTIONS_R49_1x1_228x128_5_RET_f147eedf0d.png,150g,$11.39,$7.59 per 100g
Westacre Cream Cheese Spreadable 250g,https://www.aldi.com.au/fileadmin/_processed_/b/a/csm_1002153_REDUCTIONS_R48_1x1_228x128_1_RET_ecf4fca176.png,250g,$2.69,$10.76 per kg
Jindurra Station Beef Porterhouse Steak per kg,https://www.aldi.com.au/fileadmin/_processed_/4/4/csm_1002153_REDUCTIONS_R47_1x1_228x128_2_RET_864d968b7b.png,per kg,$21.99,$21.99 per kg
Farmdale Lactose Free UHT Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/9/8/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_16_RET_9e9001db9c.png,1L,$1.59,$1.59 per litre
The Tudor Central Victorian Shiraz 750ml,https://www.aldi.com.au/fileadmin/_processed_/1/d/csm_1002153_REDUCTIONS_R45_1x1_228x128_1_RET_9bc25ae015.png,750ml,$11.99,
Streets Blue Ribbon Vanilla 2L,https://www.aldi.com.au/fileadmin/_processed_/5/9/csm_1002153_REDUCTIONS_R45_1x1_228x128_2_RET_67e7b195bb.png,2L,$6.49,33c per 100ml
Rexona Anti Perspirant Roll On Deodorant 45ml,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_1002153_REDUCTIONS_R46_1x1_228x128_1_RET_5c8de3b32e.png,45ml,$2.99,$6.64 per 100ml
Dove Anti Perspirant Roll On Deodorant 45ml,https://www.aldi.com.au/fileadmin/_processed_/0/a/csm_1002153_REDUCTIONS_R46_1x1_228x128_2_RET_4ce1f855e1.png,45ml,$2.99,$6.64 per 100ml
Oh So Natural Organic Extra Virgin Coconut Oil 300g,https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_13_RET_e617012952.png,300g,$4.19,$1.40 per 100g
Moser Roth Organic Single Origin Chocolate 100g,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_14_RET_09f5e3981d.png,100g,$2.49,$2.49 per 100g
Mamia Embossed Baby Wipes 80pk,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_1002153_REDUCTIONS_R43_1x1_228x128_2_RET_4cdf2d5d9b.png,80pk,$2.49,$3.11 per 100 wipes
Sunrice Rice Cakes Sour Cream & Chives 160g,https://www.aldi.com.au/fileadmin/_processed_/e/4/csm_1002153_REDUCTIONS_R43_1x1_228x128_3_RET_c5d35b8ae7.png,160g,$2.39,$1.49 per 100g
Forresters Dry Roasted Mixed Nuts 400g,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_1002153_REDUCTIONS_R43_1x1_228x128_1_RET_a584c1cddb.png,400g,$8.49,$21.23 per kg
Ocean Royale Wild Raw Peeled Prawns 500g,https://www.aldi.com.au/fileadmin/_processed_/1/1/csm_1002153_REDUCTIONS_R42_1x1_228x128_1_RET_9a7ec73617.png,500g,$15.99,$31.98 per kg
Westacre Dairy Tasty Cheese Shredded 250g,https://www.aldi.com.au/fileadmin/_processed_/b/1/csm_1002153_REDUCTIONS_R41_1x1_228x128_1_RET_91196d5a99.png,250g,$4.99,$19.96 per kg
Farmwood Chicken Wing Nibbles 1kg,https://www.aldi.com.au/fileadmin/_processed_/b/2/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_11_RET_816593a03b.png,1kg,$9.69,$9.69 per kg
Bakers Life Croissants 3pk/168g,https://www.aldi.com.au/fileadmin/_processed_/e/c/csm_1002153_REDUCTIONS_R38_1x1_228x128_1_RET_5cce6744af.png,3pk,$1.99,66c per ea
Farmwood Chicken Breast Chips 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_1002153_REDUCTIONS_R39_1x1_228x128_2_RET_551d3c732c.png,1kg,$9.69,$9.69 per kg
Farmdale Lactose Free Low Fat UHT Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_15_RET_58f881bc95.png,1L,$1.59,$1.59 per litre
The Cake Stall Mini Muffins 8pk/320g,https://www.aldi.com.au/fileadmin/_processed_/4/1/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_7_RET_32be3f9cb1.jpg,8pk/320g,$4.29,$1.34 per 100g
